2016-02-29 18:07:14,b'RT @SiliconArmada: Software Apps Engineer C Java Node js Scala @intel Poland Gdansk POL https://t.co/NoVkWUzT3n #Java #Nodejs #Linux',en,
2016-02-29 17:53:07,b'The continued importance of #scala to @lightbend https://t.co/8ByTH62uof',en,
2016-02-29 17:51:45,"b'Java With Scala Sunnyvale Ca Jobs in Sunnyvale, CA #Sunnyvale #CA #jobs #jobsearch https://t.co/Y3GXNWEXhb'",en,
2016-02-29 17:42:21,b'#Job openings. We are looking for #scala #Java #polymer #javascript  #developers who would like to live and #work in #Sardinia #sardegna .',en,
2016-02-29 17:38:10,b'RT @nodenow: What Is Functional Programming?\nhttps://t.co/vuBzGitNwx\n\n#scala #erlang #clojure #haskell #javascript #java #ruby #python #csh\xe2\x80\xa6',en,
2016-02-29 16:37:39,b'RT @mabrewer7: Commitment to #Scala has not diminished! - https://t.co/1gVG30Dvav @lightbend',en,
2016-02-29 16:28:47,b'RT @mabrewer7: Commitment to #Scala has not diminished! - https://t.co/1gVG30Dvav @lightbend',en,
2016-02-29 16:15:53,"b'Twitter had written in Java, ruby, Scala and Java script! \nOh no \xf0\x9f\x98\xb0'",en,
2016-02-29 15:52:52,b'.@tedneward demystifying #Scala for loops^H^H^H^H^H comprehensions and functions for #Java #developers @VoxxedVienna https://t.co/1BXHtVJr1c',en,"{'coordinates': [48.16451402, 16.34886308], 'type': 'Point'}"
2016-02-29 15:37:26,b'RT @mabrewer7: Commitment to #Scala has not diminished! - https://t.co/1gVG30Dvav @lightbend',en,
2016-02-29 15:37:23,b'RT @mabrewer7: Commitment to #Scala has not diminished! - https://t.co/1gVG30Dvav @lightbend',en,
2016-02-29 14:38:21,"b'RT @coderanch: Our very own @jesperdj is speaking at #VoxxedVienna this week on ""Practical Scala for the busy Java Developer"". https://t.co\xe2\x80\xa6'",en,
2016-02-29 14:13:52,"b'RT @kipsigman: Published @playframework #scala extensions: HTML5 image edit/upld, java.time, S3 integration - https://t.co/WAbkiK7JIA'",en,
2016-02-29 14:02:10,b'RT @ScalaFact: Commitment to #Scala has not diminished! - https://t.co/zs0vu7GQix @lightbend',en,
2016-02-29 13:47:27,b'RT @mabrewer7: Commitment to #Scala has not diminished! - https://t.co/1gVG30Dvav @lightbend',en,
